state,mean income,expenditure_mean,poverty,latitude,longitude
Johor,8517,5342,4.6,2.0229012,103.3147721
Kedah,5550,3765,9,5.809826499,100.6715035
Kelantan,4885,3505,13.2,5.402130199,102.0635972
Melaka,8057,5707,4.2,2.3293744,102.2880962
Negeri Sembilan,6788,4678,4.4,2.7831895,102.1925319
Pahang,5777,4107,6.3,3.6168822,102.5994547
Penang,8267,5322,2,5.406501299,100.2559077
Perak,5779,3903,7.5,4.812181,100.9797908
Perlis,5664,3834,4,6.486839199,100.2577623
Selangor,12233,6770,1.5,3.2083304,101.304146
Terengganu,7248,4796,6.2,4.8630743,102.9949297
Sabah,6171,3342,19.7,5.425735899,117.0326392
Sarawak,6457,3915,10.8,2.5023855,112.9547283
Kuala Lumpur,13325,7823,1.4,3.1526589,101.7022205
Labuan,8250,4176,2.5,5.316833599,115.2198613
Putrajaya,13473,8897,0.1,2.9384381,101.69223
